Genus,Species,Clade,Feeding,Guild
Hydromys,chrysogaster,Hydromini,Carnivorous,Aquatic
Leggadina,forresti,Pseudomini,Omnivorous,Terrestrial
Leporillus,conditor,Conilurini,Herbivorus,Terrestrial
Mastacomys,fuscus,Pseudomini,Herbivorus,Terrestrial
Melomys,burtoni,Uromyini,Omnivorous,Arboreal
Melomys,capensis,Uromyini,Omnivorous,Arboreal
Melomys,cervinipes,Uromyini,Omnivorous,Arboreal
Mesembriomys,gouldii,Conilurini,Frugivorous,Arboreal
Mus,musculus,Mus,Omnivorous,Terrestrial
Notomys,alexis,Pseudomini,Omnivorous,Terrestrial
Notomys,cervinus,Pseudomini,Omnivorous,Terrestrial
Notomys,fuscus,Pseudomini,Omnivorous,Terrestrial
Notomys,mitchellii,Pseudomini,Omnivorous,Terrestrial
Pogonomys,mollipilosis,Pogonomini,Frugivorous,Arboreal
Pseudomys,australis,Pseudomini,Granivorous,Terrestrial
Pseudomys,delicatulus,Pseudomini,Granivorous,Terrestrial
Pseudomys,desertor,Pseudomini,Herbivorus,Terrestrial
Pseudomys,gracilicaudatus,Pseudomini,Omnivorous,Terrestrial
Pseudomys,hermannsburgensis,Pseudomini,Omnivorous,Terrestrial
Pseudomys,higginsi,Pseudomini,Omnivorous,Terrestrial
Pseudomys,novaehollandiae,Pseudomini,Granivorous,Terrestrial
Pseudomys,oralis,Pseudomini,Herbivorus,Terrestrial
Pseudomys,patrius,Pseudomini,Omnivorous,Terrestrial
Pseudomys,shortridgei,Pseudomini,Herbivorus,Terrestrial
Rattus,fuscipes,Rattus,Omnivorous,Terrestrial
Rattus,leucopus,Rattus,Omnivorous,Terrestrial
Rattus,lutreolus,Rattus,Herbivorus,Terrestrial
Rattus,norvegicus,invRattus,Omnivorous,Terrestrial
Rattus,rattus,invRattus,Omnivorous,Terrestrial
Rattus,sordidus,Rattus,Omnivorous,Terrestrial
Rattus,tunneyi,Rattus,Omnivorous,Terrestrial
Rattus,villosissimus,Rattus,Omnivorous,Terrestrial
Uromys,caudimaculatus,Uromyini,Frugivorous,Arboreal
Xeromys,myoides,Hydromini,Carnivorous,Aquatic
Zyzomys,argurus,Pseudomini,Omnivorous,Terrestrial
Conilurus,penicillatus,Conilurini,Granivorous,Arboreal
Leggadina,lakedownensis,Pseudomini,Omnivorous,Terrestrial
Leporillus,apicalis,Conilurini,Herbivorus,Terrestrial
Mesembriomys,macrurus,Conilurini,Frugivorous,Arboreal
Notomys,longicaudatus,Pseudomini,Omnivorous,Terrestrial
Pseudomys,apodemoides,Pseudomini,Omnivorous,Terrestrial
Pseudomys,chapmani,Pseudomini,Omnivorous,Terrestrial
Pseudomys,fieldi,Pseudomini,Omnivorous,Terrestrial
Zyzomys,pedunculatus,Pseudomini,Granivorous,Terrestrial
