Museum,CatNum,Genus,Species,Sex
AM,M27465,Lep,con,Female
AM,S1600,Lep,con,Female
AM,M27463,Lep,con,Male
AM,M3061,Lep,con,Male
AM,M3063,Lep,con,Male
AM,M3065,Lep,con,Male
AM,S1597,Lep,con,Male
AM,M3409,Lep,con,Unknown
AM,M3457,Lep,con,Unknown
AM,M10765,Mas,fus,Female
AM,M7170,Mas,fus,Female
AM,M36984,Mas,fus,Male
AM,M27895,Mes,gou,Male
AM,M8345,Mes,gou,Male
AM,M27887,Not,ale,Female
AM,M5688,Not,ale,Female
AM,M10005,Not,ale,Male
AM,M23514,Not,cer,Female
AM,M8496,Not,cer,Female
AM,M23515,Not,cer,Male
AM,M23516,Not,cer,Male
AM,M8493,Not,cer,Male
AM,M8495,Not,cer,Male
AM,M8498,Not,cer,Male
AM,M23644,Not,fus,Female
AM,M23646,Not,fus,Female
AM,M23508,Not,fus,Male
AM,M4860,Not,fus,Male
AM,M4858,Not,mit,Female
AM,M4907,Not,mit,Female
AM,M5028,Not,mit,Female
AM,M8617,Not,mit,Female
AM,M3735,Not,mit,Male
AM,M4853,Not,mit,Male
AM,M8192,Not,mit,Male
AM,M10007,Pse,aus,Female
AM,M10008,Pse,aus,Female
AM,M10009,Pse,aus,Male
AM,M44869,Pse,aus,Male
AM,M9673,Pse,gra,Female
AM,M31106,Pse,gra,Male
AM,M9945,Pse,gra,Male
AM,M26079,Pse,her,Female
AM,M9207,Pse,her,Female
AM,M25376,Pse,her,Male
AM,M25377,Pse,her,Male
AM,M29421,Pse,her,Male
AM,M32487,Pse,her,Male
AM,M4872,Pse,hig,Female
AM,M4876,Pse,hig,Female
AM,M2468,Pse,hig,Female
AM,M4874,Pse,hig,Male
AM,M4875,Pse,hig,Male
AM,M4877,Pse,hig,Male
AM,M4878,Pse,hig,Male
AM,M12553,Pse,nov,Female
AM,M12557,Pse,nov,Female
AM,M25630,Pse,nov,Female
AM,M9155,Pse,nov,Female
AM,M12544,Pse,nov,Male
AM,M8938,Pse,nov,Male
AM,M9150,Pse,nov,Male
AM,M25633,Pse,ora,Female
AM,M29840,Pse,ora,Female
AM,M12346,Pse,ora,Male
AM,M6529,Xer,myo,Female
AM,M9991,Xer,myo,Female
AM,M10434,Xer,myo,Male
AM,M6868,Xer,myo,Male
AM,M21205,Zyz,arg,Female
AM,M21225,Zyz,arg,Male
AM,M24766,Zyz,arg,Male
MV,C31802,Mas,fus,Female
MV,C31804,Mas,fus,Female
MV,C31805,Mas,fus,Female
MV,C15025,Mas,fus,Male
MV,C15027,Mas,fus,Male
MV,C15034,Mas,fus,Male
MV,C25854,Mas,fus,Male
MV,DTC465,Mel,cap,Female
MV,DTC462,Mel,cap,Male
MV,DTC464,Mel,cap,Male
MV,DTC466,Mel,cap,Male
MV,C7570,Mes,gou,Female
MV,C7571,Mes,gou,Male
MV,C36854,Not,ale,Female
MV,C36848,Not,ale,Male
MV,C36885,Not,ale,Male
MV,C36886,Not,ale,Male
MV,C36892,Not,ale,Male
MV,C7356,Not,cer,Female
MV,C9081,Not,cer,Female
MV,C7833,Not,fus,Female
MV,C7834,Not,fus,Female
MV,C7835,Not,fus,Male
MV,C7836,Not,fus,Male
MV,C15045,Not,mit,Female
MV,C157,Pse,aus,Female
MV,C4886,Pse,aus,Male
MV,C4883,Pse,aus,Unknown
MV,C4884,Pse,aus,Unknown
MV,C10770,Pse,des,Female
MV,C36860,Pse,des,Female
MV,C36878,Pse,des,Female
MV,C10755,Pse,des,Male
MV,C36870,Pse,des,Male
MV,C36879,Pse,des,Male
MV,C18705,Pse,sho,Female
MV,C19922,Pse,sho,Female
MV,C22118,Pse,sho,Female
MV,C19925,Pse,sho,Male
MV,C19926,Pse,sho,Male
MV,C22111,Pse,sho,Male
MV,C37144,Pse,sho,Male
MV,C37172,Pse,sho,Male
