Genus,Species,Clade,Feeding,Guild
Hydromys,chrysogaster,Hydromys,Carnivorous,Aquatic
Leggadina,forresti,Pseudomys,Omnivorous,Terrestrial
Leporillus,conditor,Mesembriomys,Herbivorus,Terrestrial
Mastacomys,fuscus,Pseudomys,Herbivorus,Terrestrial
Melomys,burtoni,Uromys,Omnivorous,Arboreal
Melomys,capensis,Uromys,Omnivorous,Arboreal
Melomys,cervinipes,Uromys,Omnivorous,Arboreal
Mesembriomys,gouldii,Mesembriomys,Frugivorous,Arboreal
Mus,musculus,Mus,Omnivorous,Terrestrial
Notomys,alexis,Pseudomys,Omnivorous,Terrestrial
Notomys,cervinus,Pseudomys,Omnivorous,Terrestrial
Notomys,fuscus,Pseudomys,Omnivorous,Terrestrial
Notomys,mitchellii,Pseudomys,Omnivorous,Terrestrial
Pogonomys,mollipilosis,Pogonomys,Frugivorous,Arboreal
Pseudomys,australis,Pseudomys,Granivorous,Terrestrial
Pseudomys,delicatulus,Pseudomys,Granivorous,Terrestrial
Pseudomys,desertor,Pseudomys,Herbivorus,Terrestrial
Pseudomys,gracilicaudatus,Pseudomys,Omnivorous,Terrestrial
Pseudomys,hermannburgensis,Pseudomys,Omnivorous,Terrestrial
Pseudomys,higginsi,Pseudomys,Omnivorous,Terrestrial
Pseudomys,novaehollandiae,Pseudomys,Granivorous,Terrestrial
Pseudomys,oralis,Pseudomys,Herbivorus,Terrestrial
Pseudomys,patrius,Pseudomys,Omnivorous,Terrestrial
Pseudomys,shortridgei,Pseudomys,Herbivorus,Terrestrial
Rattus,fuscipes,Rattini,Omnivorous,Terrestrial
Rattus,leucopus,Rattini,Omnivorous,Terrestrial
Rattus,lutreolus,Rattini,Herbivorus,Terrestrial
Rattus,norvegicus,invRattini,Omnivorous,Terrestrial
Rattus,rattus,invRattini,Omnivorous,Terrestrial
Rattus,sordidus,Rattini,Omnivorous,Terrestrial
Rattus,tunneyi,Rattini,Omnivorous,Terrestrial
Rattus,villosissimus,Rattini,Omnivorous,Terrestrial
Uromys,caudimaculatus,Uromys,Frugivorous,Arboreal
Xeromys,myoides,Hydromys,Carnivorous,Aquatic
Zyzomys,argurus,Pseudomys,Omnivorous,Terrestrial
Conilurus,penicillatus,Mesembriomys,Granivorous,Arboreal
Leggadina,lakedownensis,Pseudomys,Omnivorous,Terrestrial
Leporillus,apicalis,Mesembriomys,Herbivorus,Terrestrial
Mesembriomys,macrurus,Mesembriomys,Frugivorous,Arboreal
Notomys,longicaudatus,Pseudomys,Omnivorous,Terrestrial
Pseudomys,apodemoides,Pseudomys,Omnivorous,Terrestrial
Pseudomys,chapmani,Pseudomys,Omnivorous,Terrestrial
Pseudomys,fieldi,Pseudomys,Omnivorous,Terrestrial
Zyzomys,pedunculatus,Pseudomys,Granivorous,Terrestrial
